date,cost
21/02/2021,261
21/02/2021,199.68
21/02/2021,153
21/02/2021,186.88
22/02/2021,177.92
22/02/2021,226.56
22/02/2021,378
23/02/2021,272.64
23/02/2021,1254.6
24/02/2021,190.72
24/02/2021,158.4
24/02/2021,101.12
25/02/2021,223.2
26/02/2021,203.4
27/02/2021,199.68
28/02/2021,300.6
28/02/2021,270
28/02/2021,183.6
28/02/2021,108.8
28/02/2021,176.64
28/02/2021,277.76
01/03/2021,205.2
01/03/2021,162.56
01/03/2021,561.6
02/03/2021,205.2
02/03/2021,129.28
02/03/2021,340.48
02/03/2021,508.16
02/03/2021,1100.8
03/03/2021,112.64
04/03/2021,349.44
04/03/2021,422.4
05/03/2021,209.92
05/03/2021,149.4
06/03/2021,352.8
07/03/2021,298.8
07/03/2021,311.4
07/03/2021,254.72
07/03/2021,154.8
07/03/2021,144.64
07/03/2021,188.16
07/03/2021,339.2
08/03/2021,102.6
08/03/2021,162.56
08/03/2021,312.32
08/03/2021,720
09/03/2021,126
09/03/2021,508.16
09/03/2021,651.52
10/03/2021,113.92
10/03/2021,536.4
10/03/2021,574.72
11/03/2021,115.2
11/03/2021,160.2
11/03/2021,450
11/03/2021,349.44
11/03/2021,529.2
12/03/2021,91.8
12/03/2021,126
12/03/2021,550.8
14/03/2021,358.2
14/03/2021,190.8
14/03/2021,154.8
14/03/2021,264.6
14/03/2021,202.24
14/03/2021,644.4
,
18/07/2021,1521
18/07/2021,1557
18/07/2021,1350
18/07/2021,1269
18/07/2021,846
18/07/2021,864
19/07/2021,1026
19/07/2021,594
19/07/2021,432
19/07/2021,306
20/07/2021,990
20/07/2021,792
20/07/2021,630
20/07/2021,468
20/07/2021,756
21/07/2021,909
21/07/2021,594
21/07/2021,432
21/07/2021,234
21/07/2021,621
22/07/2021,756
22/07/2021,513
22/07/2021,513
22/07/2021,351
22/07/2021,549
22/07/2021,945
23/07/2021,1152
23/07/2021,792
23/07/2021,756
23/07/2021,504
23/07/2021,963
24/07/2021,756
24/07/2021,954
24/07/2021,1017
24/07/2021,828
24/07/2021,909
24/07/2021,1323
24/07/2021,1710
25/07/2021,1521
25/07/2021,1557
25/07/2021,1350
25/07/2021,1269
25/07/2021,1143
25/07/2021,846
25/07/2021,864
26/07/2021,1026
26/07/2021,513
26/07/2021,306
26/07/2021,549
26/07/2021,1107
26/07/2021,2268
27/07/2021,990
27/07/2021,792
27/07/2021,630
27/07/2021,468
27/07/2021,756
27/07/2021,1206
28/07/2021,909
28/07/2021,594
28/07/2021,432
28/07/2021,234
28/07/2021,1971
29/07/2021,756
29/07/2021,513
29/07/2021,513
29/07/2021,387
29/07/2021,1521
30/07/2021,1152
30/07/2021,873
30/07/2021,549
30/07/2021,801
30/07/2021,990
31/07/2021,756
31/07/2021,1017
31/07/2021,873
31/07/2021,1305
31/07/2021,1323
31/07/2021,1710
01/08/2021,1224
01/08/2021,1152
01/08/2021,1035
01/08/2021,783
01/08/2021,1035
01/08/2021,1098
02/08/2021,720
02/08/2021,414
02/08/2021,306
02/08/2021,180
02/08/2021,918
02/08/2021,1521
03/08/2021,693
03/08/2021,558
03/08/2021,450
03/08/2021,315
03/08/2021,522
03/08/2021,540
03/08/2021,855
03/08/2021,1323
04/08/2021,639
04/08/2021,306
04/08/2021,180
04/08/2021,432
04/08/2021,432
04/08/2021,1008
05/08/2021,531
05/08/2021,360
05/08/2021,360
05/08/2021,234
05/08/2021,378
05/08/2021,441
05/08/2021,432
05/08/2021,558
06/08/2021,810
06/08/2021,612
06/08/2021,342
06/08/2021,657
06/08/2021,576
06/08/2021,513
06/08/2021,540
07/08/2021,549
07/08/2021,684
07/08/2021,729
07/08/2021,603
07/08/2021,621
07/08/2021,927
07/08/2021,1278
07/08/2021,1584
