date,cost
25/10/2020,8775
25/10/2020,3000
25/10/2020,9956.25
25/10/2020,33075
30/10/2020,2520
30/10/2020,2970
30/10/2020,9078.75
30/10/2020,2952
31/10/2020,8977.5
31/10/2020,14160
01/11/2020,12386.25
01/11/2020,7155
01/11/2020,4590
06/11/2020,888
06/11/2020,7593.75
06/11/2020,23287.5
07/11/2020,2760
07/11/2020,11760
07/11/2020,2227.5
08/11/2020,10563.75
08/11/2020,8673.75
08/11/2020,5467.5
08/11/2020,10057.5
22/11/2020,14064
22/11/2020,7824
27/11/2020,7464
29/11/2020,14928
29/11/2020,3510
02/12/2020,6000
02/12/2020,10800
03/12/2020,5784
03/12/2020,3712.5
04/12/2020,5136
04/12/2020,0
05/12/2020,15360
06/12/2020,4488
10/12/2020,6984
11/12/2020,4368
12/12/2020,9011.25
13/12/2020,9048
13/12/2020,16128
25/12/2020,8553.75
27/12/2020,4443.75
