date,cost
22/02/2021,211.2
23/02/2021,198
23/02/2021,224.4
24/02/2021,250.8
24/02/2021,237.6
26/02/2021,234
26/02/2021,184.8
26/02/2021,720
26/02/2021,488.4
27/02/2021,382.8
27/02/2021,316.8
27/02/2021,702
28/02/2021,558
28/02/2021,356.4
28/02/2021,303.6
01/03/2021,252
01/03/2021,360
02/03/2021,198
02/03/2021,277.2
02/03/2021,646.8
03/03/2021,288
04/03/2021,224.4
04/03/2021,264
05/03/2021,422.4
06/03/2021,504
06/03/2021,409.2
07/03/2021,540
07/03/2021,486
08/03/2021,237.6
09/03/2021,237.6
09/03/2021,576
10/03/2021,211.2
11/03/2021,324
12/03/2021,264
13/03/2021,432
13/03/2021,897.6
14/03/2021,558
14/03/2021,504
14/03/2021,342
14/03/2021,356.4
,
19/07/2021,1800
19/07/2021,2160
19/07/2021,3330
21/07/2021,1800
21/07/2021,5760
22/07/2021,4410
23/07/2021,2160
23/07/2021,4590
24/07/2021,4230
24/07/2021,3690
25/07/2021,4770
28/07/2021,7290
29/07/2021,4320
02/08/2021,114.54
02/08/2021,1530
02/08/2021,1800
02/08/2021,2970
02/08/2021,2700
02/08/2021,2340
03/08/2021,1530
03/08/2021,1800
03/08/2021,3960
04/08/2021,1710
04/08/2021,1530
04/08/2021,5940
05/08/2021,99
05/08/2021,1530
05/08/2021,3600
05/08/2021,3510
05/08/2021,3420
06/08/2021,108.9
06/08/2021,1530
06/08/2021,3690
06/08/2021,2070
07/08/2021,151.96
07/08/2021,1440
07/08/2021,1620
07/08/2021,3420
07/08/2021,3150
08/08/2021,990
08/08/2021,1620
08/08/2021,3690
