date,cost
21/02/2021,732.6
22/02/2021,203.28
22/02/2021,217.8
22/02/2021,464.64
23/02/2021,633.6
23/02/2021,958.32
24/02/2021,203.28
24/02/2021,188.76
24/02/2021,145.2
24/02/2021,1683
26/02/2021,363
26/02/2021,188.76
26/02/2021,217.8
26/02/2021,929.28
27/02/2021,319.44
27/02/2021,950.4
27/02/2021,450.12
01/03/2021,275.88
02/03/2021,275.88
02/03/2021,376.2
02/03/2021,633.6
03/03/2021,376.2
03/03/2021,130.68
03/03/2021,130.68
04/03/2021,376.2
04/03/2021,275.88
04/03/2021,275.88
04/03/2021,319.44
05/03/2021,261.36
06/03/2021,246.84
06/03/2021,290.4
06/03/2021,290.4
07/03/2021,435.6
07/03/2021,792
07/03/2021,551.76
07/03/2021,508.2
07/03/2021,1108.8
07/03/2021,1009.8
08/03/2021,356.4
09/03/2021,435.6
10/03/2021,910.8
11/03/2021,435.6
11/03/2021,667.92
12/03/2021,356.4
13/03/2021,396
13/03/2021,415.8
14/03/2021,174.24
14/03/2021,566.28
14/03/2021,537.24
14/03/2021,792
14/03/2021,811.8
,
19/07/2021,8280
22/07/2021,7650
02/08/2021,2880
02/08/2021,3960
03/08/2021,1440
03/08/2021,3600
03/08/2021,4050
03/08/2021,4050
03/08/2021,3330
04/08/2021,1440
04/08/2021,4500
04/08/2021,7650
04/08/2021,4860
04/08/2021,2700
05/08/2021,3600
05/08/2021,5490
05/08/2021,5490
05/08/2021,3060
06/08/2021,990
06/08/2021,1170
06/08/2021,4500
06/08/2021,2790
06/08/2021,2430
07/08/2021,3060
07/08/2021,2610
07/08/2021,2430
08/08/2021,1710
08/08/2021,1080
08/08/2021,4950
08/08/2021,4950
,
29/09/2021,900
30/09/2021,24570
03/10/2021,6480
06/10/2021,10980
06/10/2021,6840
09/10/2021,8190
10/10/2021,990
13/10/2021,19800
15/10/2021,2880
17/10/2021,6390
,
01/12/2021,11250
01/12/2021,21960
02/12/2021,1890
03/12/2021,1980
03/12/2021,2610
03/12/2021,10800
03/12/2021,28080
04/12/2021,2970
05/12/2021,2160
05/12/2021,8640
06/12/2021,1980
06/12/2021,2610
08/12/2021,3330
10/12/2021,1980
13/12/2021,2520
14/12/2021,3330
15/12/2021,1620
15/12/2021,990
16/12/2021,1980
16/12/2021,11250
16/12/2021,8910
19/12/2021,4500
20/12/2021,12780
20/12/2021,5130
21/12/2021,1350
23/12/2021,2070
23/12/2021,1170
23/12/2021,11970
24/12/2021,1530
24/12/2021,1170
,
20/06/2022,644
20/06/2022,1104
21/06/2022,644
21/06/2022,1380
21/06/2022,2668
21/06/2022,20608
22/06/2022,1564
22/06/2022,1104
22/06/2022,828
23/06/2022,1196
23/06/2022,1012
24/06/2022,736
24/06/2022,1564
25/06/2022,1288
26/06/2022,1104
26/06/2022,1104
26/06/2022,1380
26/06/2022,1472
26/06/2022,2668
26/06/2022,2944
27/06/2022,1020
27/06/2022,1224
27/06/2022,748
27/06/2022,884
28/06/2022,340
28/06/2022,5304
29/06/2022,340
29/06/2022,476
29/06/2022,612
29/06/2022,1156
29/06/2022,9860
30/06/2022,272
30/06/2022,340
30/06/2022,612
30/06/2022,1156
30/06/2022,8092
01/07/2022,340
01/07/2022,272
01/07/2022,884
01/07/2022,884
02/07/2022,1020
02/07/2022,2992
03/07/2022,3672
03/07/2022,3468
03/07/2022,4624
04/07/2022,272
04/07/2022,476
04/07/2022,612
04/07/2022,1156
05/07/2022,340
05/07/2022,612
05/07/2022,1224
05/07/2022,884
06/07/2022,340
06/07/2022,476
06/07/2022,1156
06/07/2022,1088
07/07/2022,272
07/07/2022,748
07/07/2022,884
07/07/2022,1156
07/07/2022,1496
07/07/2022,8092
08/07/2022,340
08/07/2022,1224
08/07/2022,748
08/07/2022,2788
09/07/2022,1020
09/07/2022,1224
09/07/2022,1360
09/07/2022,1428
09/07/2022,3672
10/07/2022,4420
