date,tv cost,google,meta,total_ads,transactions,revenue
2020-01-01,0.0,991.81,0.0,991.81,86,31176.28
2020-01-02,0.0,5742.32,0.0,5742.32,168,57361.28
2020-01-03,0.0,5806.89,0.0,5806.89,154,60400.09
2020-01-04,0.0,4881.33,0.0,4881.33,107,38269.96
2020-01-05,0.0,5214.06,0.0,5214.06,145,47472.87
2020-01-06,0.0,5069.64,0.0,5069.64,115,41402.59
2020-01-07,0.0,4161.3,0.0,4161.3,103,36827.12
2020-01-08,0.0,5904.79,0.0,5904.79,274,93240.89
2020-01-09,0.0,4514.4,0.0,4514.4,199,68535.62
2020-01-10,0.0,3965.13,0.0,3965.13,157,51770.37
2020-01-11,0.0,4474.36,0.0,4474.36,162,50236.99
2020-01-12,0.0,4569.86,0.0,4569.86,202,62305.24
2020-01-13,0.0,3913.49,0.0,3913.49,130,42645.13
2020-01-14,0.0,3721.56,0.0,3721.56,150,48667.25
2020-01-15,0.0,4007.9,0.0,4007.9,136,41782.65
2020-01-16,0.0,3622.53,0.0,3622.53,94,27078.44
2020-01-17,0.0,3548.1,0.0,3548.1,160,44478.57
2020-01-18,0.0,3866.93,0.0,3866.93,143,45975.39
2020-01-19,0.0,4508.43,0.0,4508.43,156,50021.82
2020-01-20,0.0,3306.82,0.0,3306.82,128,38868.0
2020-01-21,0.0,2757.09,0.0,2757.09,120,35189.79
2020-01-22,0.0,3409.15,0.0,3409.15,132,38119.18
2020-01-23,0.0,2966.7,0.0,2966.7,130,41434.82
2020-01-24,0.0,2811.92,0.0,2811.92,127,35929.2
2020-01-25,0.0,3194.64,0.0,3194.64,109,33095.89
2020-01-26,0.0,3741.69,0.0,3741.69,158,42219.42
2020-01-27,0.0,3219.4,0.0,3219.4,170,55536.57
2020-01-28,0.0,3204.1,0.0,3204.1,133,39637.37
2020-01-29,0.0,3626.27,0.0,3626.27,152,45639.56
2020-01-30,0.0,3408.41,0.0,3408.41,142,42134.64
2020-01-31,0.0,3679.09,0.0,3679.09,133,42604.45
2020-02-01,0.0,3691.93,0.0,3691.93,178,49519.55
2020-02-02,0.0,3743.35,0.0,3743.35,212,61820.31
2020-02-03,0.0,3814.54,0.0,3814.54,185,52379.92
2020-02-04,0.0,4035.51,0.0,4035.51,178,49833.0
2020-02-05,0.0,4555.94,0.0,4555.94,179,56696.56
2020-02-06,0.0,4445.11,0.0,4445.11,132,40503.37
2020-02-07,0.0,4340.87,0.0,4340.87,114,33020.85
2020-02-08,0.0,4975.32,0.0,4975.32,159,46474.66
2020-02-09,0.0,4792.1,0.0,4792.1,188,54461.46
2020-02-10,0.0,3839.66,0.0,3839.66,170,48779.88
2020-02-11,0.0,4215.17,0.0,4215.17,117,34308.93
2020-02-12,0.0,4472.15,0.0,4472.15,164,48185.6
2020-02-13,0.0,4088.83,0.0,4088.83,134,48224.04
2020-02-14,0.0,3000.22,0.0,3000.22,109,34903.79
2020-02-15,0.0,3638.01,0.0,3638.01,129,39274.19
2020-02-16,0.0,4112.15,0.0,4112.15,165,47869.62
2020-02-17,0.0,3911.41,0.0,3911.41,173,51454.38
2020-02-18,0.0,3608.82,0.0,3608.82,123,35286.17
2020-02-19,0.0,4000.32,0.0,4000.32,119,64948.15
2020-02-20,0.0,3201.64,0.0,3201.64,133,37251.06
2020-02-21,0.0,2862.69,0.0,2862.69,115,32685.27
2020-02-22,0.0,3032.96,0.0,3032.96,96,28434.26
2020-02-23,0.0,3554.72,0.0,3554.72,145,39791.19
2020-02-24,0.0,3254.73,0.0,3254.73,143,43313.43
2020-02-25,0.0,2961.88,0.0,2961.88,155,48703.47
2020-02-26,0.0,2946.08,0.0,2946.08,162,47380.27
2020-02-27,0.0,2995.92,0.0,2995.92,140,41113.07
2020-02-28,0.0,2556.15,0.0,2556.15,117,35455.48
2020-02-29,0.0,3122.58,0.0,3122.58,131,43353.63
2020-03-01,0.0,3758.65,0.0,3758.65,131,41329.97
2020-03-02,0.0,3234.36,0.0,3234.36,137,42688.22
2020-03-03,0.0,3072.89,0.0,3072.89,142,46109.12
2020-03-04,0.0,3504.59,0.0,3504.59,150,48159.88
2020-03-05,0.0,3121.25,0.0,3121.25,153,48042.72
2020-03-06,0.0,2718.51,0.0,2718.51,130,43365.36
2020-03-07,0.0,3312.63,0.0,3312.63,138,41711.9
2020-03-08,0.0,4097.29,0.0,4097.29,168,57970.33
2020-03-09,0.0,3727.61,0.0,3727.61,130,42815.24
2020-03-10,0.0,4033.11,0.0,4033.11,138,43345.89
2020-03-11,0.0,4101.37,0.0,4101.37,126,42700.88
2020-03-12,0.0,3167.94,0.0,3167.94,119,39817.02
2020-03-13,0.0,2957.9,0.0,2957.9,103,32942.3
2020-03-14,0.0,3844.4,0.0,3844.4,164,50457.45
2020-03-15,0.0,3602.31,0.0,3602.31,133,41459.73
2020-03-16,0.0,2613.58,0.0,2613.58,70,22540.51
2020-03-17,0.0,2845.14,0.0,2845.14,88,27699.34
2020-03-18,0.0,2476.38,0.0,2476.38,100,28593.64
2020-03-19,0.0,2813.33,0.0,2813.33,85,26209.56
2020-03-20,0.0,2409.84,0.0,2409.84,90,27321.25
2020-03-21,0.0,2247.3,0.0,2247.3,79,27031.49
2020-03-22,0.0,2253.91,0.0,2253.91,81,25722.9
2020-03-23,0.0,2052.18,0.0,2052.18,74,24540.18
2020-03-24,0.0,2268.7,0.0,2268.7,83,23902.09
2020-03-25,0.0,2229.48,0.0,2229.48,126,39607.44
2020-03-26,0.0,2362.75,0.0,2362.75,121,36058.13
2020-03-27,0.0,2422.87,0.0,2422.87,108,33806.74
2020-03-28,0.0,2631.59,0.0,2631.59,102,30629.52
2020-03-29,0.0,2312.27,0.0,2312.27,121,35980.84
2020-03-30,0.0,2369.3,0.0,2369.3,107,37214.79
2020-03-31,0.0,2927.93,0.0,2927.93,115,37956.45
2020-04-01,0.0,2976.82,0.0,2976.82,135,47426.49
2020-04-02,0.0,3128.95,0.0,3128.95,129,41111.72
2020-04-03,0.0,2850.14,0.0,2850.14,154,51209.49
2020-04-04,0.0,2809.4,0.0,2809.4,130,41804.31
2020-04-05,0.0,2766.8,0.0,2766.8,118,40109.15
2020-04-06,0.0,2981.19,0.0,2981.19,157,49236.97
2020-04-07,0.0,2557.05,0.0,2557.05,134,44822.14
2020-04-08,0.0,2559.19,0.0,2559.19,129,42737.62
2020-04-09,0.0,2938.53,0.0,2938.53,156,47235.06
2020-04-10,0.0,3100.5,0.0,3100.5,133,44459.13
2020-04-11,0.0,3094.55,0.0,3094.55,114,38576.67
2020-04-12,0.0,3246.07,0.0,3246.07,126,41839.26
2020-04-13,0.0,3448.22,0.0,3448.22,163,54808.04
2020-04-14,0.0,3018.34,0.0,3018.34,129,41463.79
2020-04-15,0.0,3101.12,0.0,3101.12,131,39983.89
2020-04-16,0.0,3273.81,0.0,3273.81,112,32240.47
2020-04-17,0.0,3417.66,0.0,3417.66,163,49560.36
2020-04-18,0.0,2777.5,0.0,2777.5,182,58278.54
2020-04-19,0.0,2283.19,0.0,2283.19,132,40097.21
2020-04-20,0.0,2633.13,0.0,2633.13,176,53433.27
2020-04-21,0.0,3068.05,0.0,3068.05,116,35081.96
2020-04-22,0.0,2716.27,0.0,2716.27,107,33983.46
2020-04-23,0.0,2951.72,0.0,2951.72,102,32430.3
2020-04-24,0.0,3176.28,0.0,3176.28,109,32875.44
2020-04-25,0.0,2857.4,0.0,2857.4,114,36910.64
2020-04-26,0.0,2865.28,0.0,2865.28,102,33917.29
2020-04-27,0.0,2729.89,0.0,2729.89,152,44877.08
2020-04-28,0.0,2422.94,0.0,2422.94,105,32551.75
2020-04-29,0.0,2647.55,0.0,2647.55,140,45584.23
2020-04-30,0.0,2660.93,0.0,2660.93,126,40945.31
2020-05-01,0.0,2937.56,0.0,2937.56,124,39368.69
2020-05-02,0.0,2477.88,0.0,2477.88,122,39282.99
2020-05-03,0.0,2666.02,0.0,2666.02,100,30534.71
2020-05-04,0.0,2824.76,0.0,2824.76,136,40549.62
2020-05-05,0.0,3178.1,0.0,3178.1,159,48316.36
2020-05-06,0.0,2663.36,0.0,2663.36,132,40852.61
2020-05-07,0.0,2918.01,0.0,2918.01,144,46449.52
2020-05-08,0.0,3135.88,0.0,3135.88,129,40161.46
2020-05-09,0.0,3060.57,0.0,3060.57,125,38953.57
2020-05-10,0.0,3789.89,0.0,3789.89,155,51739.53
2020-05-11,0.0,3481.51,0.0,3481.51,143,44653.56
2020-05-12,0.0,3634.35,0.0,3634.35,114,34881.17
2020-05-13,0.0,3665.7,0.0,3665.7,134,41368.9
2020-05-14,0.0,3679.97,0.0,3679.97,127,40621.01
2020-05-15,0.0,3444.51,0.0,3444.51,122,38826.41
2020-05-16,0.0,3248.18,0.0,3248.18,142,44102.99
2020-05-17,0.0,3118.28,0.0,3118.28,165,54644.74
2020-05-18,0.0,3158.24,0.0,3158.24,156,47186.74
2020-05-19,0.0,3699.09,0.0,3699.09,152,50790.16
2020-05-20,0.0,3209.43,0.0,3209.43,120,42393.81
2020-05-21,0.0,2980.73,0.0,2980.73,154,49640.19
2020-05-22,0.0,3484.86,0.0,3484.86,129,39203.87
2020-05-23,0.0,4095.56,0.0,4095.56,137,42000.99
2020-05-24,0.0,3855.6,0.0,3855.6,178,55874.41
2020-05-25,0.0,4388.47,0.0,4388.47,198,65514.05
2020-05-26,0.0,4117.72,0.0,4117.72,141,45563.67
2020-05-27,0.0,4101.79,0.0,4101.79,128,38345.35
2020-05-28,0.0,4442.86,0.0,4442.86,162,52597.94
2020-05-29,0.0,4518.83,0.0,4518.83,151,44506.48
2020-05-30,0.0,4583.21,0.0,4583.21,151,47847.61
2020-05-31,0.0,4664.93,0.0,4664.93,206,63154.48
2020-06-01,0.0,4947.19,0.0,4947.19,215,66395.6
2020-06-02,0.0,4512.1,0.0,4512.1,172,54797.27
2020-06-03,0.0,4457.42,0.0,4457.42,183,57118.47
2020-06-04,0.0,5083.99,0.0,5083.99,162,53286.18
2020-06-05,0.0,4587.18,0.0,4587.18,154,52498.07
2020-06-06,0.0,4337.91,0.0,4337.91,148,41967.29
2020-06-07,0.0,4694.67,0.0,4694.67,211,62788.11
2020-06-08,0.0,4703.66,0.0,4703.66,196,62032.8
2020-06-09,0.0,4350.74,0.0,4350.74,161,49862.59
2020-06-10,0.0,4864.15,0.0,4864.15,180,55939.18
2020-06-11,0.0,4476.5,0.0,4476.5,159,48752.97
2020-06-12,0.0,5085.25,0.0,5085.25,149,47042.47
2020-06-13,0.0,5019.49,0.0,5019.49,177,56700.07
2020-06-14,0.0,5576.43,0.0,5576.43,181,56901.97
2020-06-15,0.0,5506.22,0.0,5506.22,227,67843.21
2020-06-16,0.0,5331.76,0.0,5331.76,170,51384.53
2020-06-17,0.0,5541.54,0.0,5541.54,140,41186.42
2020-06-18,0.0,5186.14,0.0,5186.14,169,50636.13
2020-06-19,0.0,4275.16,0.0,4275.16,148,47126.68
2020-06-20,0.0,3503.45,0.0,3503.45,134,42054.88
2020-06-21,0.0,4719.29,0.0,4719.29,129,38637.62
