date,cost
21/02/2021,1214.86
21/02/2021,2496.28
21/02/2021,6297.6
22/02/2021,1755
22/02/2021,5499.62
23/02/2021,806.4
25/02/2021,1381.28
25/02/2021,614.4
27/02/2021,1170.13
28/02/2021,1414.56
28/02/2021,1778.6
01/03/2021,1031.8
01/03/2021,1780.68
02/03/2021,1123.33
03/03/2021,2504.08
04/03/2021,1031.8
05/03/2021,1357.35
07/03/2021,1913.82
07/03/2021,1872.21
07/03/2021,2612.77
08/03/2021,1997.02
09/03/2021,4914.55
10/03/2021,2808.32
18/07/2021,0
09/10/2021,3620.86
15/10/2021,3063.81
15/10/2021,10027.01
16/10/2021,1810.43
17/10/2021,2256.08
