date,cost
22/02/2021,113.4
22/02/2021,261.36
24/02/2021,178.2
25/02/2021,83.16
25/02/2021,243
25/02/2021,190.08
25/02/2021,261.36
25/02/2021,745.2
26/02/2021,213.84
26/02/2021,356.4
27/02/2021,225.72
28/02/2021,249.48
28/02/2021,340.2
01/03/2021,142.56
01/03/2021,777.6
02/03/2021,130.68
02/03/2021,201.96
02/03/2021,237.6
03/03/2021,142.56
04/03/2021,130.68
04/03/2021,201.96
06/03/2021,285.12
07/03/2021,437.4
07/03/2021,320.76
08/03/2021,777.6
08/03/2021,664.2
09/03/2021,745.2
13/03/2021,166.32
14/03/2021,469.8
14/03/2021,421.2
14/03/2021,308.88
