date,cost
21/02/2021,2732.13
22/02/2021,1148.29
23/02/2021,380.12
24/02/2021,309.73
25/02/2021,380.12
27/02/2021,450.52
28/02/2021,1187.88
01/03/2021,506.83
01/03/2021,692.93
02/03/2021,514.75
03/03/2021,492.75
04/03/2021,506.83
06/03/2021,1049.3
06/03/2021,661.7
07/03/2021,1643.24
08/03/2021,831.52
08/03/2021,3139.54
09/03/2021,930.51
10/03/2021,619.46
13/03/2021,871.12
14/03/2021,970.11
,
18/07/2021,701.13
18/07/2021,1069.52
19/07/2021,665.48
20/07/2021,463.46
20/07/2021,802.14
21/07/2021,796.2
22/07/2021,463.46
22/07/2021,796.2
23/07/2021,665.48
23/07/2021,802.14
24/07/2021,713.02
24/07/2021,475.34
25/07/2021,169.34
25/07/2021,677.37
25/07/2021,998.22
25/07/2021,1336.91
26/07/2021,760.55
26/07/2021,1158.65
27/07/2021,1158.65
28/07/2021,499.11
28/07/2021,915.04
28/07/2021,802.14
29/07/2021,915.04
30/07/2021,499.11
30/07/2021,980.4
31/07/2021,603.09
31/07/2021,475.34
31/07/2021,861.56
01/08/2021,760.55
01/08/2021,1007.14
02/08/2021,926.92
02/08/2021,1128.94
03/08/2021,508.02
03/08/2021,1063.58
03/08/2021,1069.52
03/08/2021,3030.32
04/08/2021,757.58
04/08/2021,1069.52
05/08/2021,1063.58
05/08/2021,2198.47
06/08/2021,733.81
06/08/2021,1277.49
06/08/2021,1812.25
07/08/2021,570.41
07/08/2021,344.62
07/08/2021,772.43
08/08/2021,790.26
08/08/2021,1072.49
08/08/2021,1307.2
08/08/2021,2317.3
,
29/09/2021,3879
30/09/2021,3348
01/10/2021,2205
01/10/2021,2835
02/10/2021,2124
04/10/2021,2304
06/10/2021,2376
06/10/2021,2214
16/10/2021,729
16/10/2021,1089
,
20/06/2022,0
20/06/2022,0
20/06/2022,1522.4
20/06/2022,0
21/06/2022,0
21/06/2022,0
22/06/2022,0
22/06/2022,0
22/06/2022,1522.4
23/06/2022,0
24/06/2022,0
24/06/2022,334.4
24/06/2022,0
24/06/2022,0
25/06/2022,448.8
25/06/2022,1416.8
25/06/2022,0
25/06/2022,2895.2
25/06/2022,0
25/06/2022,0
25/06/2022,3168
25/06/2022,3696
26/06/2022,0
26/06/2022,0
26/06/2022,2763.2
26/06/2022,0
26/06/2022,0
26/06/2022,2112
27/06/2022,1542.4
27/06/2022,1638.4
27/06/2022,1356.8
27/06/2022,0
28/06/2022,185.6
28/06/2022,281.6
28/06/2022,1120
28/06/2022,1542.4
29/06/2022,236.8
29/06/2022,1728
29/06/2022,1638.4
29/06/2022,1587.2
29/06/2022,1632
29/06/2022,1356.8
30/06/2022,281.6
30/06/2022,1542.4
30/06/2022,1587.2
30/06/2022,1632
30/06/2022,1356.8
01/07/2022,0
01/07/2022,0
01/07/2022,0
01/07/2022,0
02/07/2022,0
03/07/2022,0
04/07/2022,371.2
04/07/2022,0
04/07/2022,0
04/07/2022,0
05/07/2022,2195.2
05/07/2022,0
06/07/2022,0
06/07/2022,0
07/07/2022,0
07/07/2022,0
07/07/2022,0
07/07/2022,0
08/07/2022,96
09/07/2022,281.6
09/07/2022,0
10/07/2022,140.8
