date,google,meta
1/1/2020,991.81,0
1/2/2020,5742.32,0
1/3/2020,5806.89,0
1/4/2020,4881.33,0
1/5/2020,5214.06,0
1/6/2020,5069.64,0
1/7/2020,4161.3,0
1/8/2020,5904.79,0
1/9/2020,4514.4,0
1/10/2020,3965.13,0
1/11/2020,4474.36,0
1/12/2020,4569.86,0
1/13/2020,3913.49,0
1/14/2020,3721.56,0
1/15/2020,4007.9,0
1/16/2020,3622.53,0
1/17/2020,3548.1,0
1/18/2020,3866.93,0
1/19/2020,4508.43,0
1/20/2020,3306.82,0
1/21/2020,2757.09,0
1/22/2020,3409.15,0
1/23/2020,2966.7,0
1/24/2020,2811.92,0
1/25/2020,3194.64,0
1/26/2020,3741.69,0
1/27/2020,3219.4,0
1/28/2020,3204.1,0
1/29/2020,3626.27,0
1/30/2020,3408.41,0
1/31/2020,3679.09,0
2/1/2020,3691.93,0
2/2/2020,3743.35,0
2/3/2020,3814.54,0
2/4/2020,4035.51,0
2/5/2020,4555.94,0
2/6/2020,4445.11,0
2/7/2020,4340.87,0
2/8/2020,4975.32,0
2/9/2020,4792.1,0
2/10/2020,3839.66,0
2/11/2020,4215.17,0
2/12/2020,4472.15,0
2/13/2020,4088.83,0
2/14/2020,3000.22,0
2/15/2020,3638.01,0
2/16/2020,4112.15,0
2/17/2020,3911.41,0
2/18/2020,3608.82,0
2/19/2020,4000.32,0
2/20/2020,3201.64,0
2/21/2020,2862.69,0
2/22/2020,3032.96,0
2/23/2020,3554.72,0
2/24/2020,3254.73,0
2/25/2020,2961.88,0
2/26/2020,2946.08,0
2/27/2020,2995.92,0
2/28/2020,2556.15,0
2/29/2020,3122.58,0
3/1/2020,3758.65,0
3/2/2020,3234.36,0
3/3/2020,3072.89,0
3/4/2020,3504.59,0
3/5/2020,3121.25,0
3/6/2020,2718.51,0
3/7/2020,3312.63,0
3/8/2020,4097.29,0
3/9/2020,3727.61,0
3/10/2020,4033.11,0
3/11/2020,4101.37,0
3/12/2020,3167.94,0
3/13/2020,2957.9,0
3/14/2020,3844.4,0
3/15/2020,3602.31,0
3/16/2020,2613.58,0
3/17/2020,2845.14,0
3/18/2020,2476.38,0
3/19/2020,2813.33,0
3/20/2020,2409.84,0
3/21/2020,2247.3,0
3/22/2020,2253.91,0
3/23/2020,2052.18,0
3/24/2020,2268.7,0
3/25/2020,2229.48,0
3/26/2020,2362.75,0
3/27/2020,2422.87,0
3/28/2020,2631.59,0
3/29/2020,2312.27,0
3/30/2020,2369.3,0
3/31/2020,2927.93,0
4/1/2020,2976.82,0
4/2/2020,3128.95,0
4/3/2020,2850.14,0
4/4/2020,2809.4,0
4/5/2020,2766.8,0
4/6/2020,2981.19,0
4/7/2020,2557.05,0
4/8/2020,2559.19,0
4/9/2020,2938.53,0
4/10/2020,3100.5,0
4/11/2020,3094.55,0
4/12/2020,3246.07,0
4/13/2020,3448.22,0
4/14/2020,3018.34,0
4/15/2020,3101.12,0
4/16/2020,3273.81,0
4/17/2020,3417.66,0
4/18/2020,2777.5,0
4/19/2020,2283.19,0
4/20/2020,2633.13,0
4/21/2020,3068.05,0
4/22/2020,2716.27,0
4/23/2020,2951.72,0
4/24/2020,3176.28,0
4/25/2020,2857.4,0
4/26/2020,2865.28,0
4/27/2020,2729.89,0
4/28/2020,2422.94,0
4/29/2020,2647.55,0
4/30/2020,2660.93,0
5/1/2020,2937.56,0
5/2/2020,2477.88,0
5/3/2020,2666.02,0
5/4/2020,2824.76,0
5/5/2020,3178.1,0
5/6/2020,2663.36,0
5/7/2020,2918.01,0
5/8/2020,3135.88,0
5/9/2020,3060.57,0
5/10/2020,3789.89,0
5/11/2020,3481.51,0
5/12/2020,3634.35,0
5/13/2020,3665.7,0
5/14/2020,3679.97,0
5/15/2020,3444.51,0
5/16/2020,3248.18,0
5/17/2020,3118.28,0
5/18/2020,3158.24,0
5/19/2020,3699.09,0
5/20/2020,3209.43,0
5/21/2020,2980.73,0
5/22/2020,3484.86,0
5/23/2020,4095.56,0
5/24/2020,3855.6,0
5/25/2020,4388.47,0
5/26/2020,4117.72,0
5/27/2020,4101.79,0
5/28/2020,4442.86,0
5/29/2020,4518.83,0
5/30/2020,4583.21,0
5/31/2020,4664.93,0
6/1/2020,4947.19,0
6/2/2020,4512.1,0
6/3/2020,4457.42,0
6/4/2020,5083.99,0
6/5/2020,4587.18,0
6/6/2020,4337.91,0
6/7/2020,4694.67,0
6/8/2020,4703.66,0
6/9/2020,4350.74,0
6/10/2020,4864.15,0
6/11/2020,4476.5,0
6/12/2020,5085.25,0
6/13/2020,5019.49,0
6/14/2020,5576.43,0
6/15/2020,5506.22,0
6/16/2020,5331.76,0
6/17/2020,5541.54,0
6/18/2020,5186.14,0
6/19/2020,4275.16,0
6/20/2020,3503.45,0
6/21/2020,4719.29,0
6/22/2020,4964.4,0
6/23/2020,5116.4,0
6/24/2020,5198.3,0
6/25/2020,4956.13,0
6/26/2020,5141.69,0
6/27/2020,4794.92,0
6/28/2020,5363,0
6/29/2020,4921.66,0
6/30/2020,4789.27,0
7/1/2020,5122.75,0
7/2/2020,4771.43,0
7/3/2020,3721.01,0
7/4/2020,3485.02,0
7/5/2020,3917.34,0
7/6/2020,4105.76,0
7/7/2020,3579.72,0
7/8/2020,4084.75,0
7/9/2020,4138.2,0
7/10/2020,3932.89,0
7/11/2020,3453.49,0
7/12/2020,3853.36,0
7/13/2020,5041.12,0
7/14/2020,4841.03,0
7/15/2020,6487.25,0
7/16/2020,5651.34,0
7/17/2020,4714.1,0
7/18/2020,4454.11,0
7/19/2020,4410.41,0
7/20/2020,4753.54,0
7/21/2020,4427.88,0
7/22/2020,4404.32,0
7/23/2020,4677.14,0
7/24/2020,4431.8,0
7/25/2020,4209.35,0
7/26/2020,4599.97,0
7/27/2020,4826.39,0
7/28/2020,5533.24,0
7/29/2020,5252.14,0
7/30/2020,5097.19,0
7/31/2020,5373.57,0
8/1/2020,4935.97,0
8/2/2020,5849.66,0
8/3/2020,6863.09,0
8/4/2020,6017.44,0
8/5/2020,5838.55,0
8/6/2020,5771.87,0
8/7/2020,5717.64,0
8/8/2020,5419.65,0
8/9/2020,5846,0
8/10/2020,6254.62,0
8/11/2020,6354.76,0
8/12/2020,6315.59,0
8/13/2020,5703.65,0
8/14/2020,5160.21,0
8/15/2020,4734.4,0
8/16/2020,5187.98,0
8/17/2020,5273.17,0
8/18/2020,4306.51,0
8/19/2020,4412.3,0
8/20/2020,3980.75,0
8/21/2020,3722.83,0
8/22/2020,3897.37,0
8/23/2020,3545.7,0
8/24/2020,3877.39,0
8/25/2020,3713.6,0
8/26/2020,4266.32,0
8/27/2020,3417.87,0
8/28/2020,3651.35,0
8/29/2020,3681.87,0
8/30/2020,3871.28,0
8/31/2020,3777.52,0
9/1/2020,4041.26,0
9/2/2020,3569.82,0
9/3/2020,5575.46,0
9/4/2020,5011.34,0
9/5/2020,5387.65,0
9/6/2020,5257.61,0
9/7/2020,4109.87,0
9/8/2020,4689.43,0
9/9/2020,5088.34,0
9/10/2020,4731.26,0
9/11/2020,4111.78,0
9/12/2020,4648.82,0
9/13/2020,4938.47,0
9/14/2020,4802.8,0
9/15/2020,4548.77,0
9/16/2020,6009.39,0
9/17/2020,5679.99,0
9/18/2020,5428.17,0
9/19/2020,5231.91,0
9/20/2020,5683.5,0
9/21/2020,4818.28,0
9/22/2020,4346.58,0
9/23/2020,4644.67,0
9/24/2020,4376.17,0
9/25/2020,3641.18,0
9/26/2020,4612.64,0
9/27/2020,4257.35,0
9/28/2020,4623.78,0
9/29/2020,4206.35,0
9/30/2020,4720.04,0
10/1/2020,4431,0
10/2/2020,4669.69,0
10/3/2020,4837.1,0
10/4/2020,4894.07,0
10/5/2020,4974.99,0
10/6/2020,4425.66,0
10/7/2020,5115.58,0
10/8/2020,4707.65,0
10/9/2020,4605.36,0
10/10/2020,5577.3,0
10/11/2020,5606.52,0
10/12/2020,5078.28,0
10/13/2020,5156.21,0
10/14/2020,5184.22,0
10/15/2020,4857.73,0
10/16/2020,3957.69,0
10/17/2020,4629.38,0
10/18/2020,4816.02,0
10/19/2020,4709.57,0
10/20/2020,4832.58,0
10/21/2020,4445.1,0
10/22/2020,4120.4,0
10/23/2020,4360.4,0
10/24/2020,4568.36,0
10/25/2020,6328.7,0
10/26/2020,4880.17,0
10/27/2020,4818.97,0
10/28/2020,4386.11,0
10/29/2020,3959.84,0
10/30/2020,5231.1,0
10/31/2020,6133.84,0
10/31/2020,9.54,0
11/1/2020,6438.12,0
11/1/2020,20.95,0
11/2/2020,6180.74,0
11/2/2020,88.68,0
11/3/2020,6666.83,0
11/3/2020,23.82,0
11/4/2020,5717.16,0
11/4/2020,21.01,0
11/5/2020,5493.57,0
11/5/2020,171.19,0
11/6/2020,6416.31,0
11/6/2020,200.03,0
11/7/2020,7489.45,0
11/7/2020,197.98,0
11/8/2020,7551.72,0
11/8/2020,193.96,0
11/9/2020,5788.19,0
11/9/2020,199.89,0
11/10/2020,5378.14,0
11/10/2020,200.3,0
11/11/2020,5672.87,0
11/11/2020,194.38,0
11/12/2020,5300.27,0
11/12/2020,170.55,0
11/13/2020,5312.74,0
11/13/2020,136.08,0
11/14/2020,5833.53,0
11/14/2020,131.61,0
11/15/2020,5753.23,0
11/15/2020,134.23,0
11/16/2020,4367.54,0
11/16/2020,117.05,0
11/17/2020,4773.86,0
11/17/2020,111.1,0
11/18/2020,5030.26,0
11/18/2020,112.54,0
11/19/2020,5076.97,0
11/19/2020,113.29,0
11/20/2020,4682.02,0
11/20/2020,111.01,0
11/21/2020,5091.15,0
11/21/2020,116.12,0
11/22/2020,5994.23,0
11/22/2020,121.35,0
11/23/2020,4716.96,0
11/23/2020,115.25,0
11/24/2020,5640.1,0
11/24/2020,114.45,0
11/25/2020,6436.63,0
11/25/2020,114.97,0
11/26/2020,7114.88,0
11/26/2020,111.61,0
11/27/2020,9194.34,0
11/27/2020,110.89,0
11/28/2020,9455.88,0
11/28/2020,110.87,0
11/29/2020,12039.69,0
11/29/2020,112.19,0
11/30/2020,10117.01,0
12/1/2020,11011.19,0
12/2/2020,12389.97,0
12/3/2020,13777.68,0
12/4/2020,23132.62,0
12/4/2020,602.65,0
12/5/2020,16526.86,0
12/5/2020,679.39,0
12/6/2020,16668.81,0
12/6/2020,686.23,0
12/7/2020,15516.83,0
12/8/2020,8596.22,0
12/9/2020,9920.07,0
12/10/2020,8842.89,0
12/11/2020,7081.31,0
12/12/2020,8153.6,0
12/13/2020,11039.79,0
12/14/2020,7151.12,0
12/15/2020,6193.64,0
12/16/2020,6116.89,0
12/17/2020,6639.31,0
12/18/2020,6529.83,0
12/19/2020,7271.43,0
12/20/2020,6469,0
12/21/2020,4996.68,0
12/22/2020,5164.91,0
12/23/2020,4157,0
12/24/2020,3138.93,0
12/25/2020,6091.42,0
12/26/2020,5395.32,0
12/27/2020,5199.64,0
12/28/2020,5184.47,0
12/29/2020,3185.82,0
12/30/2020,3099.74,0
12/31/2020,2487.71,0
1/1/2021,3117.54,0
1/2/2021,4316.01,0
1/3/2021,3168.54,0
1/4/2021,3926.62,0
1/5/2021,3845.98,353.377887
1/6/2021,4329.74,342.549126
1/7/2021,4381.13,350.271768
1/8/2021,4792.98,354.141753
1/9/2021,5257.22,355.016551
1/10/2021,4789.22,353.448346
1/11/2021,4749.35,348.36
1/12/2021,4439.76,351.283353
1/13/2021,4676.78,350.731662
1/14/2021,4577.06,348.469858
1/15/2021,3022.69,339.926958
1/16/2021,3594.5,357.898264
1/17/2021,3216.97,351.64
1/18/2021,2539.83,399.57
1/19/2021,2664.4,423.111424
1/20/2021,5468.91,421.62
1/21/2021,3939.93,529.249047
1/22/2021,4641.88,528.97
1/23/2021,5308.86,552.51
1/24/2021,5004.63,523.24767
1/25/2021,4640.5,509.258808
1/26/2021,4467.56,544.65
1/27/2021,4694.2,545.763465
1/28/2021,4915.83,538.02
1/29/2021,4909.5,547.3
1/30/2021,6815.94,548.3
1/31/2021,5589.23,533.9
2/1/2021,5465.71,526.81
2/2/2021,5053.46,527.16
2/3/2021,6112.92,527.076499
2/4/2021,5356.74,513.18
2/5/2021,5019.97,518.4
2/6/2021,6171.53,533.89
2/7/2021,5610.57,523.57
2/8/2021,4940.91,507.71
2/9/2021,4373.19,508.8553
2/10/2021,5010.74,508.35
2/11/2021,4943.36,518.268821
2/12/2021,4342.64,521.28
2/13/2021,4343.03,551.91
2/14/2021,8556.58,524.95
2/15/2021,4321.73,374.05
2/16/2021,2764.59,301.96
2/17/2021,2878.24,302.57
2/18/2021,3104.7,289.615175
2/19/2021,2929.15,303.58
2/20/2021,2894.12,306.37
2/21/2021,3923.79,309.37
2/22/2021,3898.18,306.3
2/23/2021,2726.9,299.316185
2/24/2021,3231.9,308.146379
2/25/2021,3240.35,303.493219
2/26/2021,3689.27,296.74
2/27/2021,3798.17,311.59
2/28/2021,4608.61,309.211856
3/1/2021,3804.19,295.62
3/2/2021,4053.47,310.103764
3/3/2021,4445.62,305.057548
3/4/2021,5012.58,304.026772
3/5/2021,3745.43,298.78
3/6/2021,3425.41,312.18
3/7/2021,4875.26,307.26
3/8/2021,5469.47,296.23
3/9/2021,5503.32,271.66
3/10/2021,5442.42,258.305933
3/11/2021,3778.34,248.45
3/12/2021,4245.37,246.56866
3/13/2021,4738.65,266.69
3/14/2021,5971.27,257.335471
3/15/2021,4225.13,244.79
3/16/2021,4040.33,251.295893
3/17/2021,4379.09,255.208658
3/18/2021,3883.11,256.66
3/19/2021,3954.99,260.09
3/20/2021,4740.39,259.57
3/21/2021,5194.7,257.358647
3/22/2021,5229.72,251.24
3/23/2021,5933.55,257.55
3/24/2021,6097.58,253.94
3/25/2021,5407.05,249.134584
3/26/2021,5249.13,253.25
3/27/2021,5870.98,262.51
3/28/2021,5583.22,254.26
3/29/2021,5474.15,246.89
3/30/2021,5364.49,256.66
3/31/2021,5702.07,268.751271
4/1/2021,5869.51,277.727508
4/2/2021,5321.14,281.49
