date,cost
21/02/2021,5339.7
21/02/2021,7252.2
22/02/2021,1404
23/02/2021,1118.7
24/02/2021,1118.7
25/02/2021,1404
27/02/2021,1168.2
28/02/2021,3207.6
28/02/2021,4090.5
01/03/2021,1444.5
02/03/2021,3217.5
03/03/2021,459
04/03/2021,2227.5
05/03/2021,1444.5
07/03/2021,2092.5
07/03/2021,6925.5
,
23/07/2021,1552.5
31/07/2021,596.7
04/08/2021,945
07/08/2021,2754
07/08/2021,900
07/08/2021,581.4
08/08/2021,3006
,
22/09/2021,1227.6
22/09/2021,3950.1
24/09/2021,2930.4
25/09/2021,2524.5
27/09/2021,2544.3
29/09/2021,2970
02/10/2021,1290.3
05/10/2021,3316.5
06/10/2021,2544.3
08/10/2021,1732.5
10/10/2021,3332.34
13/10/2021,1138.5
15/10/2021,1122
16/10/2021,1138.5
,
11/11/2021,2746.8
12/11/2021,1873.74
13/11/2021,3300
15/11/2021,2692.8
19/11/2021,2692.8
,
20/06/2022,8286.31
21/06/2022,6116.76
22/06/2022,7782.18
22/06/2022,30699.58
23/06/2022,8890.53
23/06/2022,6416.26
23/06/2022,10161.58
24/06/2022,7062.3
25/06/2022,6100.13
25/06/2022,10263.7
25/06/2022,37570.6
26/06/2022,15766.15
27/06/2022,8289.8
27/06/2022,11009.03
27/06/2022,28703.4
28/06/2022,20392.34
30/06/2022,6306.61
02/07/2022,8714.1
02/07/2022,9328.35
03/07/2022,7103.16
03/07/2022,14729.37
04/07/2022,6384.12
04/07/2022,8073.19
05/07/2022,8183.39
05/07/2022,9050.64
05/07/2022,7870.9
06/07/2022,740.78
06/07/2022,723.03
06/07/2022,1111.24
07/07/2022,776.83
07/07/2022,6248.64
07/07/2022,7754.73
08/07/2022,1165.11
08/07/2022,4877.74
09/07/2022,4596.49
09/07/2022,10279.15
10/07/2022,9292.85
