date,cost
25/10/2020,140.8
25/10/2020,76.8
25/10/2020,273.6
25/10/2020,266.4
25/10/2020,221.4
25/10/2020,95.4
25/10/2020,665.6
25/10/2020,2070
25/10/2020,304.2
25/10/2020,327.6
25/10/2020,160.2
26/10/2020,169.2
26/10/2020,270
26/10/2020,72
26/10/2020,268.2
26/10/2020,270
26/10/2020,72
26/10/2020,129.2
26/10/2020,189
26/10/2020,230.4
26/10/2020,396
26/10/2020,307.2
26/10/2020,540
26/10/2020,594
26/10/2020,268.8
26/10/2020,486
26/10/2020,230.4
26/10/2020,52.2
26/10/2020,204.8
26/10/2020,540
26/10/2020,702
26/10/2020,588.8
26/10/2020,338.4
26/10/2020,512
26/10/2020,592.2
26/10/2020,1188
26/10/2020,1620
26/10/2020,88.4
26/10/2020,648
26/10/2020,91.8
26/10/2020,128
26/10/2020,76.8
27/10/2020,178.2
27/10/2020,154.8
27/10/2020,288
27/10/2020,153.6
27/10/2020,271.8
27/10/2020,504
27/10/2020,322.2
27/10/2020,102.4
27/10/2020,342
27/10/2020,288
27/10/2020,540
27/10/2020,360
27/10/2020,972
27/10/2020,612
27/10/2020,1062
27/10/2020,1800
27/10/2020,612
27/10/2020,1331.2
27/10/2020,2592
27/10/2020,131.8
27/10/2020,89.6
28/10/2020,134.4
28/10/2020,516.6
28/10/2020,140.8
28/10/2020,226.8
28/10/2020,306
28/10/2020,270
28/10/2020,134.4
28/10/2020,324
28/10/2020,396
28/10/2020,432
28/10/2020,342
28/10/2020,92.2
28/10/2020,86.4
28/10/2020,378
28/10/2020,435.2
28/10/2020,2916
28/10/2020,76.8
28/10/2020,51.2
29/10/2020,306
29/10/2020,294.4
29/10/2020,216
29/10/2020,166.4
29/10/2020,306
29/10/2020,204.8
29/10/2020,612
29/10/2020,360
29/10/2020,612
29/10/2020,1800
29/10/2020,612
29/10/2020,792
30/10/2020,99.8
30/10/2020,270
30/10/2020,288
30/10/2020,378
30/10/2020,396
30/10/2020,594
30/10/2020,230.4
30/10/2020,288
30/10/2020,435.2
30/10/2020,100.8
30/10/2020,252
30/10/2020,900
30/10/2020,356.4
30/10/2020,1278
30/10/2020,250.2
30/10/2020,1440
30/10/2020,1440
30/10/2020,828
30/10/2020,358.4
30/10/2020,102.6
30/10/2020,252
31/10/2020,161.2
31/10/2020,252
31/10/2020,298.8
31/10/2020,378
31/10/2020,360
31/10/2020,558
31/10/2020,504
31/10/2020,294.4
31/10/2020,432
31/10/2020,360
31/10/2020,320
31/10/2020,432
31/10/2020,409.6
