,date,tv cost,google cost,meta cost,total_ads,transactions,revenue,black Friday,french days,soldes
0,12/30/2019,0,22636.41,0,22636.41,660,234680.47999999998,0,0,0
1,1/6/2020,0,32659.48,0,32659.48,1212,404318.82,0,0,0
2,1/13/2020,0,27188.940000000002,0,27188.940000000002,969,300649.25,0,0,0
3,1/20/2020,0,22188.010000000002,0,22188.010000000002,904,264856.3,0,0,1
4,1/27/2020,0,24572.55,0,24572.55,1120,336892.45,0,0,1
5,2/3/2020,0,30959.39,0,30959.39,1135,333369.82,0,0,1
6,2/10/2020,0,27366.19,0,27366.19,988,301546.05,0,0,1
7,2/17/2020,0,24172.56,0,24172.56,904,289850.48,0,0,0
8,2/24/2020,0,21595.99,0,21595.99,979,300649.32,0,0,0
9,3/2/2020,0,23061.52,0,23061.52,1018,328047.53,0,0,0
10,3/9/2020,0,25434.64,0,25434.64,913,293538.51,0,0,0
11,3/16/2020,0,17659.48,0,17659.48,593,185118.69,0,0,0
12,3/23/2020,0,16279.84,0,16279.84,735,224524.94,0,0,0
13,3/30/2020,0,19829.34,0,19829.34,888,296832.4,0,0,0
14,4/6/2020,0,20477.08,0,20477.08,949,308906.85,0,0,0
15,4/13/2020,0,21319.84,0,21319.84,1012,316432.3,0,0,0
16,4/20/2020,0,20268.13,0,20268.13,826,258632.36,0,0,0
17,4/27/2020,0,18542.77,0,18542.77,869,273144.76,0,0,0
18,5/4/2020,0,21570.57,0,21570.57,980,307022.67,0,0,0
19,5/11/2020,0,24272.5,0,24272.5,947,299098.78,0,0,0
20,5/18/2020,0,24483.51,0,24483.51,1026,327090.17,0,0,0
21,5/25/2020,0,30817.81,0,30817.81,1137,357529.58,0,0,0
22,6/1/2020,0,32620.46,0,32620.46,1245,388850.99,0,0,0
23,6/8/2020,0,34076.22,0,34076.22,1203,377232.05,0,0,0
24,6/15/2020,0,34063.56,0,34063.56,1117,338869.47,0,0,1
25,6/22/2020,0,35534.84,0,35534.84,1067,335230.12,0,0,1
26,6/29/2020,0,30728.48,0,30728.48,1181,375114.79,0,0,1
27,7/6/2020,0,27148.17,0,27148.17,1006,311013.66000000003,0,0,1
28,7/13/2020,0,35599.36,0,35599.36,1130,356316.68,0,0,0
29,7/20/2020,0,31504,0,31504,1045,328824.28,0,0,0
30,7/27/2020,0,36868.16,0,36868.16,1161,371458.76,0,0,0
31,8/3/2020,0,41474.24,0,41474.24,1342,430359.54000000004,0,0,0
32,8/10/2020,0,39711.21,0,39711.21,1282,416094.24,0,0,0
33,8/17/2020,0,29138.63,0,29138.63,1010,356422.21,0,0,0
34,8/24/2020,0,26479.68,0,26479.68,1073,384329.31,0,0,0
35,8/31/2020,0,32620.66,0,32620.66,1129,391190.96,0,0,0
36,9/7/2020,0,32317.97,0,32317.97,1141,393641.24,0,0,0
37,9/14/2020,0,37384.53,0,37384.53,984,351083.16,0,0,0
38,9/21/2020,0,30696.870000000003,0,30696.870000000003,1121,376967.56,0,0,0
39,9/28/2020,0,32382.03,0,32382.03,1185,432577.60000000003,0,0,0
40,10/5/2020,0,35013.06,0,35013.06,1064,450547.32,0,0,0
41,10/12/2020,0,33679.53,0,33679.53,912,314080.14,0,0,0
42,10/19/2020,59408.25,33365.11,0,33365.11,883,295742.87,0,0,0
43,10/26/2020,190539.05,35878.64,0,35878.64,1867,637670.12,0,0,0
44,11/2/2020,255710.5,46412.45,0,46412.45,3330,1181916.54,0,0,0
45,11/9/2020,0,40206.01,0,40206.01,3094,1086443.92,0,0,0
46,11/16/2020,61642.4,35818.49,0,35818.49,3086,1016548.5,1,0,0
47,11/23/2020,119008.40000000001,55388.71,0,55388.71,6004,2088090.96,1,0,0
48,11/30/2020,116866.5,105592.41,0,105592.41,7349,2600994.2,1,0,0
49,12/7/2020,95724.25,69150.70999999999,0,69150.70999999999,2558,933032.39,1,0,0
50,12/14/2020,39386,46371.22,0,46371.22,2123,780262.96,0,0,0
51,12/21/2020,12997.5,34143.9,0,34143.9,1431,510093.36,0,0,0
52,12/28/2020,0,24559.83,0,24559.83,1370,518238.15,0,0,0
53,1/4/2021,0,31322.89,2108.8054309999998,33431.69543,1420,503732.89,0,0,0
54,1/11/2021,0,28277.11,2448.310095,30725.4201,1166,408513.52,0,0,0
55,1/18/2021,0,29568.44,3378.278141,32946.71814,1426,496681.29,0,0,1
56,1/25/2021,0,36032.76,3767.1922729999997,39799.95227,1341,447314.4,0,0,1
57,2/1/2021,0,38790.9,3670.086499,42460.9865,1351,440561.11,0,0,1
58,2/8/2021,0,36510.45,3641.324121,40151.774120999995,1175,393413.48,0,0,1
59,2/15/2021,14080.965,22816.32,2187.515175,25003.83518,1678,573241.67,0,0,0
60,2/22/2021,28787.035,25193.379999999997,2134.797639,27328.17764,1621,578570.95,0,0,0
61,3/1/2021,35758.865,29361.96,2133.028084,31494.98808,1805,648554.18,0,0,0
62,3/8/2021,22981.355,35148.84,1845.240064,36994.08006,1594,563132.02,0,0,0
63,3/15/2021,0,30417.74,1784.9731980000001,32202.7132,1546,521571.43,0,0,0
64,3/22/2021,0,39371.23,1781.884584,41153.11458,1582,534350.51,0,0,0
65,3/29/2021,0,40172.87,1906.6387789999999,42079.508778999996,1631,544790.04,0,0,0
66,4/5/2021,0,35384.21,1933.211302,37317.4213,1919,635618.3,0,0,0
67,4/12/2021,6025.954545454545,25696.8,1922.640944,27619.44094,1448,476001.05,0,0,0
68,4/19/2021,42181.681818181816,31494.629999999997,1930.678439,33425.30844,1585,550584.9,0,0,0
69,4/26/2021,42181.681818181816,37424.72,1923.6644410000001,39348.38444,2000,648654.32,0,0,0
70,5/3/2021,42181.681818181816,35377.87,1925.53,37303.4,1822,619796,0,0,0
71,5/10/2021,0,30703.98,1924.457438,32628.43744,1644,555966.73,0,0,0
72,5/17/2021,0,32536.68,1919.19,34455.87,1507,498818.1,0,0,0
73,5/24/2021,29410.5,35837.48,1932.887446,37770.367446000004,1848,588694.38,0,0,0
74,5/31/2021,34312.25,43522.67,1924.14525,45446.81525,2030,679886.93,0,0,0
75,6/7/2021,34312.25,40165.64,1919.0245599999998,42084.66456,1828,573662.49,0,0,0
76,6/14/2021,0,49276.44,1930.2912529999999,51206.731253000005,1688,548302.9199999999,0,0,0
77,6/21/2021,0,49463.85,1925.911493,51389.76149,1855,581931.6799999999,0,0,0
78,6/28/2021,0,61493.83,2186.67422,63680.50422,2323,769066.77,0,0,1
79,7/5/2021,0,51153.22,2346.215756,53499.43576,2128,715176.9199999999,0,0,1
80,7/12/2021,4588.825,43699.65,2298.674058,45998.32406,1927,635646.1,0,0,1
81,7/19/2021,55211.130000000005,39197.99,2272.715753,41470.70575,1859,590926.61,0,0,1
82,7/26/2021,36880.035,47726.13,2277.450459,50003.580459000004,1972,648621.64,0,0,0
83,8/2/2021,133863.255,49918.7,2274.656187,52193.35619,1982,659506.15,0,0,0
84,8/9/2021,0,37176.54,3068.673452,40245.213451999996,1857,629652.39,0,0,0
85,8/16/2021,0,46321.51,3322.883576,49644.39358,1956,607143.93,0,0,0
86,8/23/2021,0,56633.3,3324.009677,59957.30968,1943,645441.35,0,0,0
87,8/30/2021,0,45897.93,3664.530517,49562.46052,1831,675827.31,0,0,0
88,9/6/2021,0,43101.97,3004.677193,46106.64719,1633,549696.59,0,0,0
89,9/13/2021,0,39956.88,2737.664441,42694.54444,1523,532538.7,0,0,0
90,9/20/2021,5316.3,40914.21,2631.528528,43545.73853,1696,578809.71,0,1,0
91,9/27/2021,44275.8,42515.090000000004,3052.601979,45567.69198,1789,634247.82,0,1,0
92,10/4/2021,39322.25,40450.89,3304.37701,43755.267009999996,1648,600697.98,0,0,0
93,10/11/2021,49747.665,38018.57,3348.824598,41367.3946,1499,540801.96,0,0,0
94,10/18/2021,0,38347.75,3916.177043,42263.92704,1393,479199.98,0,0,0
95,10/25/2021,0,40211.43,4122.310725,44333.74073,1456,553237.52,0,0,0
96,11/1/2021,0,49224.66,3947.849111,53172.50911,2027,711653.78,0,0,0
97,11/8/2021,11466.27,60032.1,3838.894588,63870.99459,1919,671546.03,0,0,0
98,11/15/2021,16588.8,68372.31,3961.21713,72333.52713,2385,846652.56,1,0,0
99,11/22/2021,26676,176765.86,4572.882862,181338.7429,6115,2198902.8,1,0,0
100,11/29/2021,80163,134902.13,6151.284487,141053.4145,3676,1318715.28,1,0,0
101,12/6/2021,24187.5,116439.45000000001,6140.603719,122580.0537,4270,1534738.24,1,0,0
102,12/13/2021,77296.5,94177.92,7280.990017,101458.91,3627,1343232.57,0,0,0
103,12/20/2021,54675,71803.8,10624.82592,82428.62592,2592,965460.8300000001,0,0,0
104,12/27/2021,0,55911.6,7568.39935,63479.99935,2295,853552.12,0,0,0
105,1/3/2022,0,52687.130000000005,5916.89203,58604.02203,1884,696713.59,0,0,0
106,1/10/2022,0,42125.17,5602.092293,47727.26229,2115,745077.69,0,0,1
107,1/17/2022,0,37916.24,5599.72701,43515.96701,1750,611603.15,0,0,1
108,1/24/2022,0,35028.45,3531.412586,38559.86259,1639,546407.92,0,0,1
109,1/31/2022,0,40968.54,5455.5503069999995,46424.09031,1892,647833.16,0,0,1
110,2/7/2022,0,49254.16,5581.637755,54835.79776,1926,663838.14,0,0,0
111,2/14/2022,0,46436.8,5598.447049,52035.247049000005,1850,618595.58,0,0,0
112,2/21/2022,0,48646.5,5591.62,54238.119999999995,1893,621877.44,0,0,0
113,2/28/2022,0,56865.84,5621.236713,62487.07671,2519,866152.34,0,0,0
114,3/7/2022,0,57030.479999999996,5070.868322,62101.34832,2292,776514.78,0,0,0
115,3/14/2022,0,47295.47,4930.08,52225.55,1893,626607.96,0,0,0
116,3/21/2022,0,38501.5,4895.36,43396.86,1583,547377.36,0,0,0
117,3/28/2022,0,48412.11,5671.95,54084.06,2834,930379.76,0,0,0
118,4/4/2022,0,67032.98,7341.487186,74374.46719,2423,812349.5900000001,0,0,0
119,4/11/2022,0,56324.32,8709.14739,65033.46739,2049,700253.71,0,0,0
120,4/18/2022,0,50867.21,8084.202660000001,58951.41266,2096,718568.31,0,0,0
121,4/25/2022,0,45637.92,7290.3799500000005,52928.29995,2260,755304.79,0,0,0
122,5/2/2022,0,47983.72,7949.19647,55932.91647,2214,749589.751,0,0,0
123,5/9/2022,0,41904.85,8857.40753,50762.25753,1753,609747.87,0,0,0
124,5/16/2022,0,37252.47,10270.86144,47523.33144,1833,598300.1799999999,0,0,0
125,5/23/2022,0,42456.7,10335.58675,52792.28675,2082,679558.54,0,0,0
126,5/30/2022,0,57322.020000000004,11673.24836,68995.26836,2624,884889.7,0,0,0
127,6/6/2022,0,53952.7,12159.10405,66111.80405,2482,855078.59,0,0,0
128,6/13/2022,0,37965.95,10390.96385,48356.91385,1891,642024.94,0,0,0
129,6/20/2022,149616.655,45473.47,8957.78346,54431.25346,2126,702142.28,0,0,1
130,6/27/2022,115360.08,37263.25,9908.43626,47171.68626,2430,831779.1699999999,0,0,1
131,7/4/2022,85158.185,37656.57,11345.68107,49002.25107,2101,755059.03,0,0,1
132,7/11/2022,0,28207.480000000003,8966.84332,37174.32332,1721,632504.34,0,0,1
133,7/18/2022,0,25282.95,7425.86823,32708.818229999997,1729,639424.81,0,0,0
134,7/25/2022,0,42862.53,8246.16959,51108.699590000004,2079,786599.45,0,0,0
135,8/1/2022,0,39312.1,7982.13541,47294.23541,2171,800844.8,0,0,0
136,8/8/2022,0,33356.53,6895.468389,40251.99839,1702,629383.11,0,0,0
137,8/15/2022,0,27774.52,6226.399346,34000.91935,1760,626178.37,0,0,0
138,8/22/2022,0,30123.9,8128.741205,38252.64121,2091,708281.1,0,0,0
139,8/29/2022,0,42104.08,8974.47014,51078.55014,2497,854848.41,0,0,0
140,9/5/2022,0,49386.3,10703.44202,60089.74202,2445,862277.4199999999,0,0,0
141,9/12/2022,0,41281.26,8762.40925,50043.66925,1970,725079.14,0,0,0
142,9/19/2022,0,34473.020000000004,7639.342976,42112.362976000004,2075,754677.03,0,1,0
143,9/26/2022,0,34315.79,7724.91807,42040.70807,2125,780083.0900000001,0,1,0
144,10/3/2022,0,35890.35,7810.05107,43700.40107,2081,794712.96,0,0,0
145,10/10/2022,0,33697.85,6888.012123,40585.86212,1925,739978.54,0,0,0
146,10/17/2022,0,33268.78,6939.901675,40208.68168,1899,698118.96,0,0,0
147,10/24/2022,0,43286.08,7214.557786,50500.63779,2069,799505.38,0,0,0
148,10/31/2022,0,52629.21,8192.411250000001,60821.62125,2473,934753.26,0,0,0
149,11/7/2022,0,57279.7,9704.23219,66983.93218999999,2208,864376.5,0,0,0
150,11/14/2022,0,46625.2,8972.45415,55597.65415,3008,1190529.32,1,0,0
151,11/21/2022,0,120952.2,12944.95658,133897.1566,7239,2866897.9,1,0,0
152,11/28/2022,0,106183.68,14108.8132,120292.4932,4851,1954507.88,1,0,0
153,12/5/2022,0,100584.54,17708.86536,118293.4054,5080,2026397.69,1,0,0
154,12/12/2022,0,108875.68,27314.54432,136190.2243,4943,2019790.8599999999,0,0,0
155,12/19/2022,0,61436.29,17785.56759,79221.85759,3246,1341440.57,0,0,0
156,12/26/2022,0,39942.34,9983.2155,49925.5555,2847,1177701.66,0,0,0
